 R, Honoka, Natsuiro Egao de 1 2 JUMP!, 0
R, Nozomi, Korekara no Someday, 51
R, Hanayo, Korekara no Someday, 52
R, Niko, Korekara no Someday, 53
R, Honoka, Yume no Tobira, 54
R, Eri, Yume no Tobira, 55
R, Kotori, Yume no Tobira, 56
R, Umi, Yume no Tobira, 57
R, Rin, Yume no Tobira, 58
R, Maki, Yume no Tobira, 59
R, Nozomi, Yume no Tobira, 60
R, Hanayo, Yume no Tobira, 61
R, Niko, Yume no Tobira, 62
R, Honoka, MUSIC S T A R T, 63
R, Eri, MUSIC S T A R T, 64
R, Kotori, MUSIC S T A R T, 65
R, Umi, MUSIC S T A R T, 66
R, Rin, MUSIC S T A R T, 67
R, Maki, MUSIC S T A R T, 68
R, Nozomi, MUSIC S T A R T, 69
R, Hanayo, MUSIC S T A R T, 70
R, Niko, MUSIC S T A R T, 71
R, Honoka, Dancing Stars on Me, 72
R, Eri, Dancing Stars on Me, 73
R, Kotori, Dancing Stars on Me, 74
R, Umi, Dancing Stars on Me, 75
R, Rin, Dancing Stars on Me, 76
R, Maki, Dancing Stars on Me, 77
R, Nozomi, Dancing Stars on Me, 78
R, Hanayo, Dancing Stars on Me, 79
R, Niko, Dancing Stars on Me, 80
R, Honoka, Kira-Kira Sensation, 81
R, Eri, Kira-Kira Sensation, 82
R, Kotori, Kira-Kira Sensation, 83
R, Umi, Kira-Kira Sensation, 84
R, Rin, Kira-Kira Sensation, 85
R, Maki, Kira-Kira Sensation, 86
R, Nozomi, Kira-Kira Sensation, 87
R, Hanayo, Kira-Kira Sensation, 88
R, Niko, Kira-Kira Sensation, 89
SR, Honoka, Dress, 90
SR, Eri, Dress, 91
SR, Kotori, Dress, 92
SR, Umi, Dress, 93
SR, Rin, Dress, 94
SR, Maki, Dress, 95
SR, Nozomi, Dress, 96
SR, Hanayo, Dress, 97
SR, Niko, Dress, 98
SR, Honoka, Job, 99
SR, Eri, Job, 100
SR, Kotori, Job, 101
SR, Umi, Job, 102
SR, Rin, Job, 103
SR, Maki, Job, 104
SR, Nozomi, Job, 105
SR, Hanayo, Job, 106
SR, Niko, Job, 107
SR, Honoka, Animal, 108
SR, Eri, Animal, 109
SR, Kotori, Animal, 110
SR, Umi, Animal, 111
SR, Rin, Animal, 112
SR, Maki, Animal, 113
SR, Nozomi, Animal, 114
SR, Hanayo, Animal, 115
SR, Niko, Animal, 116
UR, Honoka, Initial, 117
UR, Eri, Initial, 118
UR, Kotori, Initial, 119
UR, Umi, Initial, 120
UR, Rin, Initial, 121
UR, Maki, Initial, 122
UR, Nozomi, Initial, 123
UR, Hanayo, Initial, 124
UR, Niko, Initial, 125
SR, Honoka, August, 126
SR, Eri, August, 127
SR, Kotori, August, 128
SR, Umi, August, 129
SR, Rin, August, 130
SR, Maki, August, 131
UR, Nozomi, August, 132
SR, Hanayo, August, 133
UR, Niko, August, 134
SR, Honoka, September, 135
SR, Eri, September, 136
UR, Kotori, September, 137
UR, Umi, September, 138
SR, Rin, September, 139
SR, Maki, September, 140
SR, Nozomi, September, 141
SR, Hanayo, September, 142
SR, Niko, September, 143
UR, Honoka, October, 144
SR, Eri, October, 145
SR, Kotori, October, 146
SR, Umi, October, 147
UR, Rin, October, 148
SR, Maki, October, 149
SR, Nozomi, October, 150
SR, Hanayo, October, 151
SR, Niko, October, 152
SR, Honoka, November, 153
SR, Eri, November, 154
SR, Kotori, November, 155
SR, Umi, November, 156
SR, Rin, November, 157
UR, Maki, November, 158
SR, Nozomi, November, 159
UR, Hanayo, Novemeber, 160
SR, Niko, November, 161
SR, Honoka, December, 162
UR, Eri, December, 163
SR, Kotori, December, 164
SR, Umi, December, 165
SR, Rin, December, 166
SR, Maki, December, 167
UR, Nozomi, December, 168
SR, Hanayo, December, 169
SR, Niko, December, 170
UR, Honoka, January, 171
SR, Eri, January, 172
SR, Kotori, January, 173
UR, Umi, January, 174
SR, Rin, January, 175
SR, Maki, January, 176
SR, Nozomi, January, 177
SR, Hanayo, January, 178
SR, Niko, January, 179
SR, Honoka, February, 180
SR, Eri, February, 181
SR, Kotori, February, 182
SR, Umi, February, 183
SR, Rin, February, 184
UR, Maki, February, 185
SR, Nozomi, February, 186
SR, Hanayo, February, 187
UR, Niko, February, 188
SR, Honoka, March, 189
SR, Eri, March, 190
SR, Kotori, March, 191
SR, Umi, March, 192
UR, Rin, March, 193
SR, Maki, March, 194
SR, Nozomi, March, 195
UR, Hanayo, March, 196
SR, Niko, March, 197
SR, Honoka, April, 198
UR, Eri, April, 199
SR, Kotori, April, 200
UR, Umi, April, 201
SR, Rin, April, 202
SR, Maki, April, 203
SR, Nozomi, April, 204
SR, Hanayo, April, 205
SR, Niko, April, 206
SR, Honoka, May, 207
SR, Eri, May, 208
UR, Kotori, May, 209
SR, Umi, May, 210
SR, Rin, May, 211
SR, Maki, May, 212
SR, Nozomi, May, 213
UR, Hanayo, May, 214
SR, Niko, May, 215
UR, Honoka, June, 216
UR, Eri, June, 217
SR, Kotori, June, 218
SR, Umi, June, 219
SR, Rin, June, 220
SR, Maki, June, 221
SR, Nozomi, June, 222
SR, Hanayo, June, 223
SR, Niko, June, 224
SR, Honoka, July, 225
SR, Eri, July, 226
SR, Kotori, July, 227
SR, Umi, July, 228
SR, Rin, July, 229
UR, Maki, July, 230
UR, Nozomi, July, 231
SR, Hanayo, July, 232
SR, Niko, July, 233
SR, Honoka, China Dress, 234
SR, Eri, China Dress, 235
UR, Kotori, China Dress, 236
SR, Umi, China Dress, 237
SR, Rin, China Dress, 238
SR, Maki, China Dress, 239
SR, Nozomi, China Dress, 240
SR, Hanayo, China Dress, 241
UR, Niko, China Dress, 242
SR, Honoka, Maid, 243
SR, Eri, Maid, 244
SR, Kotori, Maid, 245
UR, Umi, Maid, 246
UR, Rin, Maid, 247
SR, Maki, Maid, 248
SR, Nozomi, Maid, 249
SR, Hanayo, Maid, 250
SR, Niko, Maid, 251
SR, Honoka, Halloween, 252
SR, Eri, Halloween, 253
SR, Kotori, Halloween, 254
SR, Umi, Halloween, 255
SR, Rin, Halloween, 256
SR, Maki, Halloween, 257
UR, Nozomi, Halloween, 258
UR, Hanayo, Halloween, 259
SR, Niko, Halloween, 260
SR, Honoka, Constellation, 261
SR, Eri, Constellation, 262
SR, Kotori, Constellation, 263
SR, Umi, Constellation, 264
UR, Rin, Constellation, 265
UR, Maki, Constellation, 266
SR, Nozomi, Constellation, 267
SR, Hanayo, Constellation, 268
SR, Niko, Constellation, 269
UR, Honoka, Snowy Mountain, 270
SR, Eri, Snowy Mountain, 271
UR, Kotori, Snowy Mountain, 272
SR, Umi, Snowy Mountain, 273
SR, Rin, Snowy Mountain, 274
SR, Maki, Snowy Mountain, 275
SR, Nozomi, Snowy Mountain, 276
SR, Hanayo, Snowy Mountain, 277
SR, Niko, Snowy Mountain, 278
SR, Honoka, Seven Lucky Gods, 279
UR, Eri, Seven Lucky Gods, 280
SR, Kotori, Seven Lucky Gods, 281
SR, Umi, Seven Lucky Gods, 282
SR, Rin, Seven Lucky Gods, 283
SR, Maki, Seven Lucky Gods, 284
SR, Nozomi, Seven Lucky Gods, 285
SR, Hanayo, Seven Lucky Gods, 286
UR, Niko, Seven Lucky Gods, 287
SR, Honoka, Valentines, 288
SR, Eri, Valentines, 289
SR, Kotori, Valentines, 290
SR, Umi, Valentines, 291
UR, Rin, Valentine's Day, 292
SR, Maki, Valentines, 293
UR, Nozomi, Valentine's Day, 294
SR, Hanayo, Valentines, 295
SR, Niko, Valentines, 296
SR, Honoka, White Day, 297
SR, Eri, White Day, 298
SR, Kotori, White Day, 299
UR, Umi, White Day, 300
SR, Rin, White Day, 301
SR, Maki, White Day, 302
SR, Nozomi, White Day, 303
UR, Hanayo, White Day, 304
SR, Niko, White Day, 305
SR, Honoka, Job V2, 306
UR, Eri, Job V2, 307
UR, Kotori, Job V2, 308
SR, Umi, Job V2, 309
SR, Rin, Job V2, 310
SR, Maki, Job V2, 311
SR, Nozomi, Job V2, 312
SR, Hanayo, Job V2, 313
SR, Niko, Job V2, 314
UR, Honoka, Cyber, 315
SR, Eri, Cyber, 316
SR, Kotori, Cyber, 317
SR, Umi, Cyber, 318
SR, Rin, Cyber, 319
SR, Maki, Cyber, 320
SR, Nozomi, Cyber, 321
SR, Hanayo, Cyber, 322
UR, Niko, Cyber, 323
SR, Honoka, Magician, 324
SR, Eri, Magician, 325
UR, Kotori, Magician, 326
SR, Umi, Magician, 327
SR, Rin, Magician, 328
UR, Maki, Magician, 329
SR, Nozomi, Magician, 330
SR, Hanayo, Magician, 331
SR, Niko, Magician, 332
SR, Honoka, Marine, 333
SR, Eri, Marine, 334
SR, Kotori, Marine, 335
UR, Umi, Marine, 336
SR, Rin, Marine, 337
SR, Maki, Marine, 338
UR, Nozomi, Marine, 339
SR, Hanayo, Marine, 340
SR, Niko, Marine, 341
SR, Honoka, Pool, 342
UR, Eri, Pool, 343
SR, Kotori, Pool, 344
SR, Umi, Pool, 345
UR, Rin, Pool, 346
SR, Maki, Pool, 347
SR, Nozomi, Pool, 348
SR, Hanayo, Pool, 349
SR, Niko, Pool, 350
SR, Honoka, Kunoichi, 351
SR, Eri, Kunoichi, 352
SR, Kotori, Kunoichi, 353
SR, Umi, Kunoichi, 354
SR, Rin, Kunoichi, 355
SR, Maki, Kunoichi, 356
SR, Nozomi, Kunoichi, 357
UR, Hanayo, Kunoichi, 358
UR, Niko, Kunoichi, 359
UR, Honoka, Animal V2, 360
SR, Eri, Animal V2, 361
SR, Kotori, Animal V2, 362
SR, Umi, Animal V2, 363
SR, Rin, Animal V2, 364
UR, Maki, Animal V2, 365
SR, Nozomi, Animal V2, 366
SR, Hanayo, Animal V2, 367
SR, Niko, Animal V2, 368
SR, Honoka, Victorian, 369
SR, Eri, Victorian, 370
UR, Kotori, Victorian, 371
SR, Umi, Victorian, 372
SR, Rin, Victorian, 373
SR, Maki, Victorian, 374
UR, Nozomi, Victorian, 375
SR, Hanayo, Victorian, 376
SR, Niko, Victorian, 377
SR, Honoka, Choir, 378
UR, Eri, Choir, 379
SR, Kotori, Choir, 380
SR, Umi, Choir, 381
SR, Rin, Choir, 382
SR, Maki, Choir, 383
SR, Nozomi, Choir, 384
UR, Hanayo, Choir, 385
SR, Niko, Choir, 386
SR, Honoka, Circus, 387
SR, Eri, Circus, 388
SR, Kotori, Circus, 389
UR, Umi, Circus, 390
SR, Rin, Circus, 391
UR, Maki, Circus, 392
SR, Nozomi, Circus, 393
SR, Hanayo, Circus, 394
SR, Niko, Circus, 395
SR, Honoka, Fairy, 396
SR, Eri, Fairy, 397
SR, Kotori, Fairy, 398
SR, Umi, Fairy, 399
UR, Rin, Fairy, 400
SR, Maki, Fairy, 401
SR, Nozomi, Fairy, 402
SR, Hanayo, Fairy, 403
UR, Niko, Fairy, 404
UR, Honoka, Taisho Romance, 405
SR, Eri, Taisho Romance, 406
SR, Kotori, Taisho Romance, 407
SR, Umi, Taisho Romance, 408
SR, Rin, Taisho Romance, 409
SR, Maki, Taisho Romance, 410
SR, Nozomi, Taisho Romance, 411
UR, Hanayo, Taisho Romance, 412
SR, Niko, Taisho Romance, 413
SR, Honoka, Baseball, 414
UR, Eri, Baseball, 415
SR, Kotori, Baseball, 416
SR, Umi, Baseball, 417
SR, Rin, Baseball, 418
UR, Maki, Baseball, 419
SR, Nozomi, Baseball, 420
SR, Hanayo, Baseball, 421
SR, Niko, Baseball, 422
SR, Honoka, Dancing Girl, 423
SR, Eri, Dancing Girl, 424
UR, Kotori, Dancer, 425
SR, Umi, Dancing Girl, 426
UR, Rin, Dancer, 427
SR, Maki, Dancing Girl, 428
SR, Nozomi, Dancing Girl, 429
SR, Hanayo, Dancing Girl, 430
SR, Niko, Dancing Girl, 431
UR, Honoka, Idol Costume, 432
SR, Eri, Idol Costume, 433
SR, Kotori, Idol Costume, 434
SR, Umi, Idol Costume, 435
SR, Rin, Idol Costume, 436
SR, Maki, Idol Costume, 437
UR, Nozomi, Idol Costume, 438
SR, Hanayo, Idol Costume, 439
SR, Niko, Idol Costume, 440
SR, Honoka, Devil, 441
SR, Eri, Devil, 442
SR, Kotori, Devil, 443
UR, Umi, Devil, 444
SR, Rin, Devil, 445
SR, Maki, Devil, 446
SR, Nozomi, Devil, 447
SR, Hanayo, Devil, 448
UR, Niko, Devil, 449
